"digits","algorithm","n_neighbors","metric","sizes","digit","precision","recall","f1_score","support"
1,"ball_tree",20,"euclidean",5,1,"     0.57","    0.97","     0.72",95
2,"ball_tree",20,"euclidean",5,2,"     0.92","    0.54","     0.68",111
3,"ball_tree",20,"euclidean",5,3,"     0.78","    0.88","     0.83",103
4,"ball_tree",20,"euclidean",5,4,"     0.88","    0.83","     0.85",95
5,"ball_tree",20,"euclidean",5,5,"     0.75","    0.81","     0.78",97
6,"ball_tree",20,"euclidean",5,6,"     0.91","    0.88","     0.89",106
7,"ball_tree",20,"euclidean",5,7,"     0.57","    0.76","     0.65",97
8,"ball_tree",20,"euclidean",5,8,"     0.92","    0.55","     0.69",87
9,"ball_tree",20,"euclidean",5,9,"     0.79","    0.51","     0.62",112
0,"kd_tree",20,"euclidean",5,0,"     0.87","    0.95","     0.91",97
1,"kd_tree",20,"euclidean",5,1,"     0.58","    0.97","     0.73",95
2,"kd_tree",20,"euclidean",5,2,"     0.97","    0.56","     0.71",111
3,"kd_tree",20,"euclidean",5,3,"     0.77","    0.92","     0.84",103
4,"kd_tree",20,"euclidean",5,4,"     0.90","    0.83","     0.86",95
5,"kd_tree",20,"euclidean",5,5,"     0.77","    0.79","     0.78",97
6,"kd_tree",20,"euclidean",5,6,"     0.91","    0.89","     0.90",106
7,"kd_tree",20,"euclidean",5,7,"     0.55","    0.80","     0.66",97
8,"kd_tree",20,"euclidean",5,8,"     0.94","    0.55","     0.70",87
9,"kd_tree",20,"euclidean",5,9,"     0.80","    0.47","     0.60",112
0,"brute",20,"euclidean",5,0,"     0.84","    0.95","     0.89",97
1,"brute",20,"euclidean",5,1,"     0.60","    0.97","     0.74",95
2,"brute",20,"euclidean",5,2,"     0.96","    0.58","     0.72",111
3,"brute",20,"euclidean",5,3,"     0.80","    0.91","     0.85",103
4,"brute",20,"euclidean",5,4,"     0.91","    0.82","     0.86",95
5,"brute",20,"euclidean",5,5,"     0.79","    0.81","     0.80",97
6,"brute",20,"euclidean",5,6,"     0.93","    0.87","     0.90",106
7,"brute",20,"euclidean",5,7,"     0.54","    0.78","     0.64",97
8,"brute",20,"euclidean",5,8,"     0.89","    0.56","     0.69",87
9,"brute",20,"euclidean",5,9,"     0.77","    0.50","     0.61",112
0,"auto",50,"euclidean",5,0,"     0.84","    0.95","     0.89",97
