"";"digits";"algorithm";"n_neighbors";"metric";"sizes";"digit";"precision";"recall";"f1_score";"support"
"1516";5;"brute";10;"euclidean";20;5;0,94;0,92;0,93;97
"1517";6;"brute";10;"euclidean";20;6;0,96;0,92;0,94;106
"1521";0;"auto";20;"euclidean";20;0;0,97;0,98;0,97;97
"1524";3;"auto";20;"euclidean";20;3;0,9;0,92;0,91;103
"1525";4;"auto";20;"euclidean";20;4;0,91;0,81;0,86;95
"1526";5;"auto";20;"euclidean";20;5;0,96;0,89;0,92;97
"1527";6;"auto";20;"euclidean";20;6;0,96;0,89;0,92;106
"1531";0;"ball_tree";20;"euclidean";20;0;0,97;0,98;0,97;97
"1534";3;"ball_tree";20;"euclidean";20;3;0,9;0,92;0,91;103
"1535";4;"ball_tree";20;"euclidean";20;4;0,91;0,81;0,86;95
"1536";5;"ball_tree";20;"euclidean";20;5;0,96;0,89;0,92;97
"1537";6;"ball_tree";20;"euclidean";20;6;0,96;0,89;0,92;106
"1541";0;"kd_tree";20;"euclidean";20;0;0,97;0,98;0,97;97
"1544";3;"kd_tree";20;"euclidean";20;3;0,9;0,92;0,91;103
"1545";4;"kd_tree";20;"euclidean";20;4;0,91;0,81;0,86;95
"1546";5;"kd_tree";20;"euclidean";20;5;0,96;0,89;0,92;97
"1547";6;"kd_tree";20;"euclidean";20;6;0,96;0,89;0,92;106
"1551";0;"brute";20;"euclidean";20;0;0,97;0,98;0,97;97
"1554";3;"brute";20;"euclidean";20;3;0,9;0,92;0,91;103
"1555";4;"brute";20;"euclidean";20;4;0,91;0,81;0,86;95
"1556";5;"brute";20;"euclidean";20;5;0,96;0,9;0,93;97
"1557";6;"brute";20;"euclidean";20;6;0,96;0,89;0,92;106
"1561";0;"auto";50;"euclidean";20;0;0,95;0,97;0,96;97
"1571";0;"ball_tree";50;"euclidean";20;0;0,95;0,97;0,96;97
"1581";0;"kd_tree";50;"euclidean";20;0;0,95;0,97;0,96;97
"1591";0;"brute";50;"euclidean";20;0;0,95;0,97;0,96;97
"1601";0;"auto";1;"manhattan";20;0;0,96;0,97;0,96;97
"1602";1;"auto";1;"manhattan";20;1;0,79;0,98;0,87;95
"1603";2;"auto";1;"manhattan";20;2;0,99;0,91;0,95;111
